,job129_scenario0_244,job134_scenario1_253,job135_scenario0_254,job137_scenario2_256,
in27,0.16601205325911106,0.2937173990456572,0.15157564808124724,0.2519634294349188,
B14,0.19020995558128717,0.3986616687052583,0.21834792443503703,0.3986616687052583,
B11,0.1990907002695722,0.3284608335257104,0.20845171312397115,0.2937173990456572,
cn12,0.018241757542683867,0.19020995558128717,0.018241757542683867,0.20845171312397115,
B54,0.049808285222191606,0.09332000153313924,0.0,0.15157564808124724,
B51,0.26479422901451194,0.2937173990456572,0.3102190759830266,0.21834792443503703,
os4,0.2786525483035189,0.2937173990456572,0.15864342790177943,0.5186707891069977,
in4,0.181762594255371,0.2519634294349188,0.1990907002695722,0.2519634294349188,
B33,0.22884426308132727,0.3102190759830266,0.2937173990456572,0.4688625038848061,
sh10,0.43022819638476606,0.2786525483035189,0.3986616687052583,0.7088807446882849,
in22,0.2519634294349188,0.3284608335257104,0.21834792443503703,0.4688625038848061,
