,job177_scenario2_316,job180_scenario3_320,
in27,0.16709078922769566,0.33690819485162665,
B14,0.4071090300311745,0.4071090300311745,
B11,0.11195480479028619,0.2870999096294351,
cn12,0.03658533017966603,0.09688995404814787,
B54,0.24846560212939506,0.21689907444988732,
B51,0.1284564817276556,0.2870999096294351,
os4,0.21689907444988732,0.5271181504329139,
in4,0.07020083517954778,0.2870999096294351,
B33,0.2870999096294351,0.24846560212939506,
sh10,0.21689907444988726,0.0,
in22,0.4071090300311745,0.24846560212939506,
