,job561_scenario1_1128,job562_scenario1_1129,job563_scenario1_1130,job564_scenario1_1131,
in27,0.14420702272391556,0.06283220982221621,0.14420702272391556,0.12770534578654613,
B14,0.1828413302239556,0.1828413302239556,0.1828413302239556,0.23264961544614726,
B11,0.14420702272391556,0.1828413302239556,0.20596049657754706,0.11264049504440782,
cn12,0.015750540996259943,0.007696225384806743,0.0,0.024197902322176112,
B54,0.264216143125655,0.23264961544614726,0.30285045062569504,0.264216143125655,
B51,0.14420702272391556,0.14420702272391556,0.09878217575540088,0.08595137617580773,
os4,0.09878217575540088,0.23264961544614726,0.11264049504440782,0.09878217575540088,
in4,0.052335871175925974,0.11264049504440782,0.07400618754436777,0.03307864701046115,
B33,0.09878217575540088,0.11264049504440782,0.12770534578654613,0.09878217575540088,
sh10,0.3526587358478866,0.3526587358478866,0.3526587358478866,0.20596049657754706,
in22,0.20596049657754706,0.09878217575540088,0.07400618754436777,0.12770534578654613,
