,job156_scenario1_284,job158_scenario2_286,job159_scenario1_288,
in27,0.06175347385363161,0.04980828522219166,0.04980828522219166,
B14,0.2400182408034789,0.3284608335257105,0.13825087794442326,
B11,0.1586434279017795,0.12000912040173944,0.10350744346437002,
cn12,0.0,0.01824175754268398,0.0,
B54,0.18176259425537095,0.3284608335257105,0.3284608335257105,
B51,0.0884425927222317,0.0386343075000401,0.1586434279017795,
os4,0.12000912040173944,0.5186707891069977,0.20845171312397115,
in4,0.04980828522219166,0.0884425927222317,0.0884425927222317,
B33,0.028137968853749862,0.3284608335257105,0.18176259425537095,
sh10,0.27865254830351893,0.2400182408034789,0.20845171312397115,
in22,0.10350744346437002,0.3986616687052583,0.12000912040173944,
