,job507_scenario0_1002,job510_scenario3_1007,
in27,0.1076369609919744,0.4119864388420822,
B14,0.22177648326079497,0.5004290315643138,
B11,0.12654335107008863,0.690638987145601,
cn12,0.0,0.35373079229397425,
B54,0.14040167035909568,0.260410790760835,
B51,0.24655247147182807,0.5706298667438616,
os4,0.23372167189223492,0.5004290315643138,
in4,0.1719681980386033,0.45062074634212224,
B33,0.260410790760835,0.45062074634212224,
sh10,0.4119864388420822,0.5004290315643138,
in22,0.23372167189223492,0.45062074634212224,
