,job836_scenario0_1880,job838_scenario0_1882,
in27,0.13195430903317928,0.15864342790177943,
B14,0.2519634294349188,0.24001824080347883,
B11,0.1990907002695722,0.1447851086127725,
cn12,0.035064354985031354,0.0,
B54,0.26479422901451194,0.3102190759830266,
B51,0.26479422901451194,0.22884426308132727,
os4,0.24001824080347883,0.20845171312397115,
in4,0.1990907002695722,0.1990907002695722,
B33,0.26479422901451194,0.3102190759830266,
sh10,0.43022819638476606,0.4688625038848061,
in22,0.2519634294349188,0.22884426308132727,
