,job116_scenario0_234,job117_scenario4_235,
in27,0.22615992151447184,0.39159388888472596,
B14,0.3213930537051782,0.48003648160695767,
B11,0.24001824080347878,0.600045602008697,
cn12,0.10285286210672329,0.39159388888472596,
B54,0.37509221194735654,0.5116030092864654,
B51,0.0,0.15157564808124713,
os4,0.2997227373367364,0.600045602008697,
in4,0.25508309154561715,0.6702464371882448,
B33,0.3461690419162113,0.33333824233661813,
sh10,0.600045602008697,0.430228196384766,
in22,0.3600273612052182,0.39159388888472596,
