,job984_scenario1_2523,job985_scenario0_2527,
in27,0.6272635204668857,0.27407598502941055,
B14,0.6823995049042952,0.3480821725737783,
B11,0.6437651974042552,0.2817722104142173,
cn12,0.5419978345451997,0.12954198097532343,
B54,0.732207790126487,0.37285816078481143,
B51,0.6272635204668857,0.4182830077533261,
os4,0.6437651974042552,0.31651564489427064,
in4,0.5419978345451997,0.29827388735158666,
B33,0.40374695660077636,0.10806393177029949,
sh10,0.8024086253060346,0.5067256004755578,
in22,0.27529047487312064,0.0,
