,job259_scenario1_508,job260_scenario1_509,job261_scenario4_510,
in27,0.20736779360154955,0.05287272916534658,0.1728818495670859,
B14,0.22386947053891892,0.1728818495670859,0.14976268321349445,
B11,0.22386947053891892,0.11112837571345441,0.2697718036152339,
cn12,0.09541298881126337,0.0,0.14976268321349445,
B54,0.3825128984406984,0.1995709684356861,0.3897809240169733,
B51,0.20736779360154955,0.09462669877608498,0.2697718036152339,
os4,0.19230294285941119,0.12937013325613822,0.2697718036152339,
in4,0.19230294285941119,0.05287272916534658,0.5097900444187127,
B33,0.22386947053891892,0.09462669877608498,0.09462669877608498,
sh10,0.2856229443925504,0.23113749611519385,0.14976268321349445,
in22,0.20736779360154955,0.09462669877608498,0.2697718036152339,
