,job788_scenario2_1842,job791_scenario3_1845,job793_scenario0_1847,job794_scenario1_1849,
in27,0.4730987180578365,0.5939569121820636,0.19577272958460556,0.19020995558128728,
B14,0.9636315383110843,0.6823995049042952,0.2500783212414053,0.45691731525336615,
B11,0.5484681926684567,0.5939569121820636,0.21699967423094413,0.2667073596720789,
cn12,0.4632025067467706,0.5357012656339557,0.06605247171397144,0.09688995404814793,
B54,0.9636315383110843,0.5125820992803642,0.4496492896770914,0.527118150432914,
B51,0.4947690344262783,0.752600340083843,0.34470502001749026,0.20304075516088044,
os4,0.7236132975076055,0.6823995049042952,0.29100586177531185,0.3102190759830266,
in4,0.4835950567041267,0.6325912196821036,0.30295105040675185,0.19020995558128728,
B33,0.9636315383110843,0.492189549323008,0.2798318840531603,0.20304075516088044,
sh10,0.4632025067467706,0.44238126410081646,0.11274109482546457,0.0,
in22,0.843622417909345,0.6325912196821036,0.31578184998634495,0.2667073596720789,
