jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario3_0,0,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job1_scenario1_3,3,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job2_scenario2_7,7,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job3_scenario1_8,8,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job4_scenario0_11,11,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job5_scenario0_13,13,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job6_scenario0_16,16,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job7_scenario2_17,17,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job8_scenario1_19,19,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job9_scenario4_20,20,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job10_scenario1_21,21,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job11_scenario1_23,23,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job12_scenario4_29,29,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job13_scenario4_30,30,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job14_scenario4_31,31,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job15_scenario4_35,35,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job16_scenario1_36,36,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job17_scenario1_42,42,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job18_scenario2_44,44,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job19_scenario0_46,46,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job20_scenario2_47,47,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job21_scenario1_48,48,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job22_scenario4_49,49,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job23_scenario1_50,50,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job24_scenario2_51,51,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job25_scenario2_52,52,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job26_scenario2_53,53,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job27_scenario1_54,54,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job28_scenario2_56,56,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job29_scenario0_59,59,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job30_scenario4_63,63,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job31_scenario2_64,64,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job32_scenario3_66,66,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job33_scenario4_68,68,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job34_scenario1_70,70,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job35_scenario1_72,72,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job36_scenario0_73,73,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job37_scenario1_74,74,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job38_scenario1_77,77,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job39_scenario0_78,78,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job40_scenario0_79,79,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job41_scenario3_83,83,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job42_scenario1_84,84,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job43_scenario1_85,85,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job44_scenario2_87,87,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job45_scenario2_88,88,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job46_scenario4_90,90,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job47_scenario0_91,91,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job48_scenario1_98,98,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job49_scenario3_99,99,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job50_scenario3_100,100,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job51_scenario1_101,101,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job52_scenario2_102,102,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job53_scenario4_105,105,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job54_scenario1_106,106,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job55_scenario2_108,108,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job56_scenario1_109,109,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job57_scenario3_110,110,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job58_scenario0_112,112,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job59_scenario2_113,113,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job60_scenario0_114,114,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job61_scenario2_115,115,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job62_scenario0_118,118,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job63_scenario0_119,119,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job64_scenario3_120,120,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job65_scenario3_122,122,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job66_scenario4_123,123,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job67_scenario2_124,124,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job68_scenario0_125,125,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job69_scenario0_127,127,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job70_scenario0_128,128,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job71_scenario1_129,129,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job72_scenario2_131,131,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job73_scenario0_134,134,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job74_scenario0_137,137,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job75_scenario1_140,140,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job76_scenario2_141,141,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job77_scenario1_142,142,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job78_scenario1_144,144,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job79_scenario0_148,148,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job80_scenario1_153,153,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job81_scenario1_157,157,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job82_scenario1_158,158,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job83_scenario1_159,159,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job84_scenario1_165,165,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job85_scenario2_166,166,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job86_scenario3_171,171,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
