jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario1_0,0,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job1_scenario1_4,4,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job2_scenario2_7,7,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job3_scenario1_9,9,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job4_scenario1_11,11,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job5_scenario0_15,15,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job6_scenario1_18,18,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job7_scenario1_19,19,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job8_scenario1_20,20,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job9_scenario1_22,22,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job10_scenario4_24,24,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job11_scenario0_26,26,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job12_scenario1_31,31,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job13_scenario1_32,32,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job14_scenario2_33,33,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job15_scenario4_34,34,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job16_scenario1_35,35,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job17_scenario2_37,37,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job18_scenario3_40,40,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job19_scenario2_43,43,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job20_scenario3_47,47,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job21_scenario1_49,49,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job22_scenario1_52,52,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job23_scenario1_54,54,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job24_scenario1_55,55,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job25_scenario1_56,56,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job26_scenario4_59,59,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job27_scenario0_60,60,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job28_scenario1_61,61,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job29_scenario2_65,65,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job30_scenario4_66,66,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job31_scenario0_67,67,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job32_scenario2_68,68,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
