jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario1_1,1,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job1_scenario1_2,2,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job2_scenario4_3,3,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job3_scenario1_6,6,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job4_scenario4_8,8,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job5_scenario0_14,14,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job6_scenario0_16,16,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job7_scenario1_17,17,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job8_scenario1_20,20,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job9_scenario4_21,21,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job10_scenario3_23,23,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job11_scenario0_24,24,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job12_scenario0_25,25,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job13_scenario2_26,26,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job14_scenario3_27,27,20,2,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job15_scenario1_28,28,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job16_scenario4_30,30,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job17_scenario3_31,31,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job18_scenario3_32,32,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job19_scenario2_33,33,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job20_scenario1_34,34,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job21_scenario2_39,39,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job22_scenario0_46,46,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job23_scenario2_48,48,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job24_scenario2_49,49,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job25_scenario1_50,50,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job26_scenario1_51,51,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job27_scenario4_52,52,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job28_scenario1_56,56,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job29_scenario2_59,59,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job30_scenario1_60,60,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job31_scenario4_61,61,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job32_scenario4_64,64,20,10,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job33_scenario1_65,65,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job34_scenario1_68,68,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job35_scenario3_73,73,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job36_scenario4_74,74,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job37_scenario3_76,76,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job38_scenario1_77,77,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job39_scenario1_78,78,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job40_scenario2_79,79,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job41_scenario1_81,81,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job42_scenario2_82,82,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job43_scenario0_84,84,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job44_scenario2_85,85,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job45_scenario3_86,86,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job46_scenario1_87,87,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job47_scenario4_88,88,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job48_scenario1_89,89,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job49_scenario0_90,90,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job50_scenario2_91,91,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job51_scenario2_92,92,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job52_scenario3_93,93,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job53_scenario2_95,95,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job54_scenario3_97,97,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job55_scenario1_98,98,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job56_scenario2_99,99,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job57_scenario2_100,100,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job58_scenario4_102,102,20,4,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job59_scenario2_103,103,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job60_scenario2_104,104,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job61_scenario2_106,106,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job62_scenario0_107,107,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job63_scenario2_110,110,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job64_scenario1_111,111,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job65_scenario3_112,112,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job66_scenario3_113,113,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job67_scenario0_114,114,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job68_scenario4_118,118,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job69_scenario2_120,120,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
