,job168_scenario1_317,job170_scenario2_321,
in27,0.23742737828236904,0.0,
B14,0.3139247823731607,0.22884426308132724,
B11,0.26411649715096913,0.05369915824217836,
cn12,0.21430821192877753,0.038634307500040044,
B54,0.5743355731339957,0.1586434279017795,
B51,0.29568302483047687,0.038634307500040044,
os4,0.1441073767492298,0.22884426308132724,
in4,0.2502581778619622,0.038634307500040044,
B33,0.29568302483047687,0.13195430903317928,
sh10,0.4156921452322163,0.19020995558128723,
in22,0.27918134789310745,0.1586434279017795,
