,job212_scenario1_392,job213_scenario0_393,job214_scenario2_396,
in27,0.3289896331152991,0.14712387990910158,0.0884425927222317,
B14,0.3841256175527086,0.1544925052664332,0.3284608335257105,
B11,0.30006646308415386,0.17024304626269315,0.1586434279017795,
cn12,0.21703482832501292,0.0035453027494605216,0.0,
B54,0.43393390277490024,0.22849869281080093,0.3284608335257105,
B51,0.27529047487312075,0.267133000310841,0.10350744346437002,
os4,0.30006646308415386,0.22849869281080093,0.27865254830351893,
in4,0.25362015850467895,0.17869040758860932,0.06175347385363161,
B33,0.3289896331152991,0.267133000310841,0.3986616687052583,
sh10,0.36373306759535234,0.5773520762938676,0.20845171312397115,
in22,0.3841256175527086,0.21732471508864937,0.18176259425537095,
