,job432_scenario0_843,job433_scenario1_844,
in27,0.13590436392448757,0.24308268474663386,
B14,0.21996351839304235,0.42134745169648113,
B11,0.13590436392448757,0.42134745169648113,
cn12,0.0,0.19957096843568622,
B54,0.3195800888374255,0.3630918051483732,
B51,0.28483665435737227,0.255913484326227,
os4,0.2311374961151939,0.26977180361523395,
in4,0.16482753395563288,0.255913484326227,
B33,0.3630918051483732,0.255913484326227,
sh10,0.3897809240169734,0.3897809240169734,
in22,0.16482753395563288,0.3195800888374255,
