,job623_scenario3_1287,job628_scenario1_1292,job631_scenario0_1295,
in27,0.6471272708346534,0.5132598311439069,0.3867164800738183,
B14,0.22177648326079502,0.12000912040173939,0.0,
B11,0.6471272708346534,0.4884838429328739,0.3867164800738183,
cn12,0.4668135265644321,0.39325071074216755,0.269943651334419,
B54,0.4071090300311746,0.4884838429328739,0.26670735967207904,
B51,0.5586846781124217,0.38041991116257445,0.5271181504329139,
os4,0.8373372264159405,0.5271181504329139,0.4569173152533662,
in4,0.6204381519660531,0.5132598311439069,0.4569173152533662,
B33,0.9573463468176799,0.5586846781124217,0.47730986521072233,
sh10,0.6786937985141611,0.7671363912363927,0.9573463468176799,
in22,0.4884838429328739,0.5271181504329139,0.4668135265644321,
