job_id,worker_id,expected_time,simulated_time,expected_quality
job0_scenario1_1,in27,14,12,5
job1_scenario1_2,in27,10,14,5
job2_scenario1_5,in27,13,12,5
job3_scenario1_8,in27,11,12,5
job4_scenario3_10,in27,7,5,5
job5_scenario0_11,in27,25,24,5
job6_scenario1_13,in27,9,12,5
job7_scenario4_17,in27,6,3,5
job8_scenario4_18,in27,7,7,5
job9_scenario1_19,in27,10,12,5
job10_scenario2_21,in27,12,11,5
job11_scenario2_23,in27,11,14,5
job12_scenario0_24,in27,23,24,5
job13_scenario1_34,in27,11,12,5
job14_scenario2_35,in27,14,11,5
job15_scenario0_37,in27,26,30,5
job16_scenario1_38,in27,12,12,5
job17_scenario2_42,in27,15,13,5
job18_scenario2_43,in27,10,13,5
job19_scenario1_45,in27,13,12,5
job20_scenario3_47,in27,5,3,5
job21_scenario3_48,in27,4,4,5
job22_scenario1_49,in27,15,12,5
job23_scenario1_51,in27,14,12,5
job24_scenario2_52,in27,9,15,5
job25_scenario1_55,in27,13,11,5
job26_scenario1_56,in27,15,15,5
job27_scenario3_57,in27,8,3,5
job28_scenario3_58,in27,7,8,5
job29_scenario1_60,in27,10,9,5
job30_scenario1_62,in27,12,14,5
job31_scenario1_63,in27,10,11,5
job32_scenario0_64,in27,26,30,5
job33_scenario4_65,in27,8,7,5
job34_scenario1_68,in27,13,14,5
job35_scenario1_70,in27,14,13,5
job36_scenario4_71,in27,8,9,5
job37_scenario1_77,in27,15,10,5
job38_scenario0_78,in27,25,25,5
job39_scenario3_79,in27,3,8,5
job40_scenario2_81,in27,10,14,5
job41_scenario4_82,in27,9,7,5
job42_scenario3_83,in27,6,3,5
job43_scenario4_85,in27,8,8,5
job44_scenario1_89,in27,12,12,5
job45_scenario2_90,in27,12,12,5
job46_scenario3_91,in27,6,8,5
job47_scenario3_92,in27,9,1,5
job48_scenario2_94,in27,9,11,5
job49_scenario1_95,in27,13,12,5
job50_scenario2_96,in27,13,17,5
job51_scenario3_100,in27,8,10,5
job52_scenario1_103,in27,14,15,5
job53_scenario2_104,in27,12,14,5
job54_scenario2_114,in27,12,13,5
job55_scenario1_115,in27,13,10,5
job56_scenario2_117,in27,14,14,5
job57_scenario1_121,in27,11,11,5
