job_id,worker_id,expected_time,simulated_time,expected_quality
job0_scenario3_0,in27,8,4,5
job1_scenario1_3,in27,14,11,5
job2_scenario2_7,in27,12,16,5
job3_scenario1_8,in27,13,10,5
job4_scenario0_11,in27,25,23,5
job5_scenario0_13,in27,25,24,5
job6_scenario0_16,in27,26,24,5
job7_scenario2_17,in27,13,14,5
job8_scenario1_19,in27,12,10,5
job9_scenario4_20,in27,9,6,5
job10_scenario1_21,in27,12,12,5
job11_scenario1_23,in27,11,15,5
job12_scenario4_29,in27,13,4,5
job13_scenario4_30,in27,3,9,5
job14_scenario4_31,in27,9,5,5
job15_scenario4_35,in27,9,9,5
job16_scenario1_36,in27,10,16,5
job17_scenario1_42,in27,14,11,5
job18_scenario2_44,in27,13,11,5
job19_scenario0_46,in27,21,26,5
job20_scenario2_47,in27,14,11,5
job21_scenario1_48,in27,13,15,5
job22_scenario4_49,in27,6,9,5
job23_scenario1_50,in27,11,14,5
job24_scenario2_51,in27,14,10,5
job25_scenario2_52,in27,12,11,5
job26_scenario2_53,in27,14,12,5
job27_scenario1_54,in27,11,14,5
job28_scenario2_56,in27,14,13,5
job29_scenario0_59,in27,24,25,5
job30_scenario4_63,in27,7,9,5
job31_scenario2_64,in27,13,11,5
job32_scenario3_66,in27,6,5,5
job33_scenario4_68,in27,6,11,5
job34_scenario1_70,in27,13,11,5
job35_scenario1_72,in27,14,13,5
job36_scenario0_73,in27,26,21,5
job37_scenario1_74,in27,15,11,5
job38_scenario1_77,in27,13,9,5
job39_scenario0_78,in27,28,26,5
job40_scenario0_79,in27,25,25,5
job41_scenario3_83,in27,7,8,5
job42_scenario1_84,in27,11,12,5
job43_scenario1_85,in27,9,17,5
job44_scenario2_87,in27,8,10,5
job45_scenario2_88,in27,13,13,5
job46_scenario4_90,in27,11,7,5
job47_scenario0_91,in27,26,24,5
job48_scenario1_98,in27,14,12,5
job49_scenario3_99,in27,4,9,5
job50_scenario3_100,in27,8,6,5
job51_scenario1_101,in27,15,9,5
job52_scenario2_102,in27,17,16,5
job53_scenario4_105,in27,10,7,5
job54_scenario1_106,in27,15,12,5
job55_scenario2_108,in27,10,11,5
