job_id,worker_id,expected_time,simulated_time,expected_quality
job0_scenario2_3,in27,12,14,5
job1_scenario4_5,in27,9,7,5
job2_scenario4_7,in27,7,12,5
job3_scenario2_8,in27,15,15,5
job4_scenario0_13,in27,22,24,5
job5_scenario0_15,in27,26,24,5
job6_scenario0_16,in27,24,25,5
job7_scenario1_17,in27,12,12,5
job8_scenario0_21,in27,29,27,5
job9_scenario2_23,in27,16,11,5
job10_scenario2_24,in27,12,11,5
job11_scenario3_26,in27,6,6,5
job12_scenario1_27,in27,11,12,5
job13_scenario4_28,in27,8,8,5
job14_scenario1_35,in27,15,13,5
job15_scenario1_36,in27,9,11,5
job16_scenario1_38,in27,11,10,5
job17_scenario1_39,in27,15,11,5
job18_scenario1_47,in27,12,12,5
job19_scenario1_49,in27,12,12,5
job20_scenario1_50,in27,12,14,5
job21_scenario0_51,in27,25,24,5
job22_scenario0_54,in27,22,27,5
job23_scenario0_56,in27,25,25,5
job24_scenario1_57,in27,12,12,5
job25_scenario4_58,in27,10,13,5
job26_scenario0_59,in27,29,25,5
job27_scenario3_61,in27,6,5,5
job28_scenario2_64,in27,11,14,5
job29_scenario1_67,in27,11,12,5
job30_scenario0_70,in27,23,23,5
job31_scenario2_71,in27,11,11,5
job32_scenario4_74,in27,7,12,5
job33_scenario2_77,in27,14,16,5
job34_scenario3_79,in27,6,4,5
job35_scenario0_80,in27,28,24,5
job36_scenario3_81,in27,4,2,5
job37_scenario0_82,in27,22,25,5
job38_scenario2_83,in27,13,15,5
job39_scenario1_84,in27,11,12,5
job40_scenario0_87,in27,26,23,5
job41_scenario2_89,in27,13,12,5
job42_scenario1_90,in27,15,11,5
job43_scenario0_94,in27,25,26,5
job44_scenario1_95,in27,12,13,5
job45_scenario1_96,in27,11,12,5
job46_scenario4_97,in27,7,8,5
job47_scenario0_98,in27,26,26,5
job48_scenario3_99,in27,7,5,5
job49_scenario0_101,in27,25,23,5
job50_scenario1_103,in27,15,11,5
job51_scenario1_106,in27,10,13,5
job52_scenario1_107,in27,18,10,5
job53_scenario0_108,in27,27,24,5
job54_scenario3_109,in27,9,12,5
job55_scenario2_111,in27,9,12,5
job56_scenario1_113,in27,14,12,5
job57_scenario2_114,in27,13,12,5
job58_scenario3_116,in27,4,6,5
job59_scenario1_118,in27,11,12,5
job60_scenario2_120,in27,14,13,5
job61_scenario4_122,in27,9,5,5
job62_scenario3_123,in27,8,8,5
job63_scenario4_124,in27,7,9,5
job64_scenario3_127,in27,2,4,5
job65_scenario4_130,in27,7,9,5
job66_scenario0_131,in27,23,25,5
job67_scenario1_133,in27,11,15,5
job68_scenario4_141,in27,8,6,5
job69_scenario2_144,in27,17,14,5
job70_scenario4_145,in27,9,10,5
job71_scenario1_150,in27,13,12,5
job72_scenario2_151,in27,13,12,5
job73_scenario4_153,in27,9,8,5
job74_scenario1_154,in27,11,13,5
job75_scenario3_157,in27,6,7,5
job76_scenario2_158,in27,12,12,5
job77_scenario2_159,in27,10,13,5
job78_scenario1_165,in27,14,13,5
job79_scenario1_167,in27,17,14,5
job80_scenario2_169,in27,12,13,5
job81_scenario0_173,in27,25,25,5
job82_scenario2_174,in27,12,16,5
job83_scenario1_175,in27,12,12,5
job84_scenario1_177,in27,17,12,5
job85_scenario4_178,in27,11,9,5
job86_scenario0_179,in27,25,29,5
job87_scenario1_182,in27,11,12,5
job88_scenario1_183,in27,12,12,5
job89_scenario0_185,in27,25,25,5
job90_scenario3_190,in27,7,7,5
job91_scenario4_192,in27,9,5,5
job92_scenario3_193,in27,2,3,5
job93_scenario1_194,in27,13,18,5
job94_scenario3_195,in27,7,9,5
job95_scenario1_197,in27,14,13,5
job96_scenario4_198,in27,5,8,5
job97_scenario3_199,in27,4,8,5
job98_scenario3_200,in27,6,5,5
job99_scenario2_202,in27,14,13,5
job100_scenario3_203,in27,6,5,5
job101_scenario1_204,in27,10,13,5
job102_scenario3_206,in27,7,3,5
job103_scenario4_207,in27,9,8,5
job104_scenario0_211,in27,26,25,5
job105_scenario1_212,in27,11,12,5
job106_scenario1_216,in27,15,12,5
job107_scenario1_217,in27,15,11,5
job108_scenario3_218,in27,8,1,5
job109_scenario1_220,in27,12,14,5
job110_scenario2_224,in27,15,11,5
job111_scenario4_225,in27,5,6,5
job112_scenario1_227,in27,9,11,5
job113_scenario2_228,in27,18,11,5
job114_scenario1_229,in27,15,12,5
job115_scenario0_230,in27,24,29,5
job116_scenario0_234,in27,26,27,5
job117_scenario4_235,in27,10,8,5
job118_scenario4_237,in27,5,11,5
job119_scenario2_240,in27,13,13,5
job120_scenario2_241,in27,15,11,5
job121_scenario1_245,in27,11,16,5
job122_scenario2_246,in27,14,15,5
job123_scenario0_251,in27,28,21,5
job124_scenario1_252,in27,17,13,5
job125_scenario1_253,in27,12,11,5
job126_scenario2_255,in27,12,15,5
job127_scenario2_256,in27,13,13,5
job128_scenario2_258,in27,12,13,5
job129_scenario3_264,in27,7,6,5
job130_scenario0_268,in27,25,27,5
job131_scenario1_271,in27,13,13,5
job132_scenario4_273,in27,7,10,5
job133_scenario2_275,in27,11,11,5
job134_scenario2_277,in27,12,12,5
job135_scenario1_278,in27,13,9,5
job136_scenario1_283,in27,14,17,5
job137_scenario4_284,in27,7,7,5
job138_scenario4_287,in27,8,5,5
job139_scenario0_288,in27,27,23,5
job140_scenario0_291,in27,23,26,5
job141_scenario2_292,in27,16,14,5
job142_scenario1_293,in27,11,11,5
job143_scenario2_294,in27,14,14,5
job144_scenario1_295,in27,11,14,5
job145_scenario1_296,in27,11,15,5
