,job254_scenario2_473,job256_scenario4_475,job257_scenario2_476,
in27,0.39558948203849664,0.2351408319925712,0.1250279229018978,
B14,0.4342237895385367,0.4253507875738584,0.3369081948516268,
B11,0.3790878051011273,0.3053416671721191,0.20039739751251795,
cn12,0.2844611063250423,0.21689907444988737,0.10577069873643297,
B54,0.6040411951624677,0.4253507875738584,0.4253507875738584,
B51,0.17381299877770184,0.305341667172119,0.026689118868600148,
os4,0.794251150743755,0.2786525483035189,0.4253507875738584,
in4,0.35016463506998197,0.3369081948516268,0.1250279229018978,
B33,0.5155986024402361,0.1250279229018978,0.6155607431551456,
sh10,0.33733383549038876,0.0,0.1586434279017795,
in22,0.5155986024402361,0.2786525483035189,0.3369081948516268,
