,job4_scenario1_11,job6_scenario1_18,
in27,0.4586460184408409,0.1768851854444632,
B14,0.4586460184408409,0.24708602062401108,
B11,0.4586460184408409,0.12707690022227164,
cn12,0.3551385749764709,0.0,
B54,0.8738093640834685,0.22039690175541088,
B51,0.42972284840969566,0.15864342790177938,
os4,0.49338945292089414,0.12707690022227164,
in4,0.40494686019866255,0.0884425927222316,
B33,0.4435811676987026,0.19727773540181942,
sh10,0.563590288100442,0.10038778135367149,
in22,0.49338945292089414,0.14214175096440995,
