,job230_scenario0_426,job233_scenario3_430,
in27,0.13333389053856337,0.1051294362894537,
B14,0.18084894272688834,0.1051294362894537,
B11,0.14040167035909557,0.2749468419133847,
cn12,0.0,0.03492860110990592,
B54,0.260410790760835,0.12824860264304516,
B51,0.29197731844034275,0.2749468419133847,
os4,0.20010616689235317,0.15493772151164537,
in4,0.18084894272688834,0.34514767709293254,
B33,0.24655247147182807,0.22513855669119312,
sh10,0.690638987145601,0.4651567974946719,
in22,0.22177648326079497,0.4651567974946719,
