,job988_scenario0_2789,job989_scenario1_2790,
in27,0.15362462540162114,0.26557943019190733,
B14,0.1803137442702213,0.26557943019190733,
B11,0.1620719867275373,0.23665626016076208,
cn12,0.0,0.1803137442702213,
B54,0.0603046238684819,0.250514579449769,
B51,0.22382546058116892,0.22382546058116892,
os4,0.2007062942275774,0.30032286467196057,
in4,0.17095273141582235,0.250514579449769,
B33,0.2007062942275774,0.22382546058116892,
sh10,0.4905328202532478,0.44072453503105624,
in22,0.19020995558128717,0.3207154146293168,
