tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,sh10,in22,
0,,,,,,,,,,,,
1,,,,,,,|0_1_6_0_,,,,,
2,,,,,,,,,,,,
3,,,,,|3_3_4_1_,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,|8_8_4_3_,,,,,,|7_8_10_2_,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,|11_12_9_4_,,
13,,,,,,,,,,,,
14,,,,,,,,,,|13_14_9_5_,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,|16_17_9_6_,,
18,,,,,,,,,,,,
19,,,,,,,,,,,|17_19_10_7_,
20,,,,,|19_20_4_8_,,,,,,,
21,,,,,|21_21_4_10_,,,,,,,
22,,,,,,,|20_22_6_9_,,,,,
23,,,,,,,,,,,,
24,,,,,|23_24_4_11_,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,|29_33_6_12_|30_33_6_13_,,,,,
34,,,,,,,|31_34_6_14_,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,|35_40_6_15_,,,,,
41,,,,,|36_41_4_16_,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,|44_45_10_18_,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,|46_48_9_19_,|47_48_10_20_,
49,,,,,|42_49_4_17_,,,,,,,
50,,,,,,,,,,,,
51,,,,,|50_51_4_23_,,,,,,,
52,,,,,,,|49_52_6_22_,,,,|51_52_10_24_,
53,,,,,,,,,,,|52_53_10_25_,
54,,,,,,,,,,,|53_54_10_26_,
55,,,,,,,,,,,,
56,,,,,|48_56_4_21_,,,,,,,
57,,,,,,,,,,,|56_57_10_28_,
58,,,,,|54_58_4_27_,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,|59_61_9_29_,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,|64_65_10_31_,
66,,,,,,,|63_66_6_30_,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,|66_69_6_32_,,,,,
70,,,,,,,,,,,,
71,,,,,,,|68_71_6_33_,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,|73_75_9_36_,,
76,,,,,,,,,,,,
77,,,,,|72_77_4_35_,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,|70_81_4_34_,,,,,|78_81_9_39_|79_81_9_40_,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,|74_85_4_37_,,|83_85_6_41_,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,|77_89_4_38_,,,,,,,
90,,,,,,,|90_90_6_46_,,,,|87_90_10_44_,
91,,,,,,,,,,,|88_91_10_45_,
92,,,,,,,,,,,,
93,,,,,,,,,,|91_93_9_47_,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,|84_97_4_42_,,,,,,,
98,,,,,|85_98_4_43_,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,|99_101_6_49_,,,,,
102,,,,,,,|100_102_6_50_,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,,,,,,,|105_105_6_53_,,,,|102_105_10_52_,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,|108_109_10_55_,
110,,,,,,,,,,,,
111,,,,,,,,,,,,
112,,,,,|98_112_4_48_,,,,,,,
113,,,,,,,|110_113_6_57_,,,,,
114,,,,,,,,,,|112_114_9_58_,|113_114_10_59_,
115,,,,,,,,,,,,
116,,,,,|101_116_4_51_,,,,,|114_116_9_60_,|115_116_10_61_,
117,,,,,,,,,,,,
118,,,,,,,,,,,,
119,,,,,,,,,,,,
120,,,,,,,,,,|118_120_9_62_,,
121,,,,,|106_121_4_54_,,,,,|119_121_9_63_,,
122,,,,,,,,,,,,
123,,,,,,,|120_123_6_64_,,,,,
124,,,,,,,,,,,,
125,,,,,|109_125_4_56_,,|122_125_6_65_,,,,|124_125_10_67_,
126,,,,,,,|123_126_6_66_,,,,,
127,,,,,,,,,,|125_127_9_68_,,
128,,,,,,,,,,,,
129,,,,,,,,,,|127_129_9_69_,,
130,,,,,,,,,,|128_130_9_70_,,
131,,,,,,,,,,,,
132,,,,,,,,,,,|131_132_10_72_,
133,,,,,,,,,,,,
