,job106_scenario3_207,job108_scenario1_209,
in27,0.08595137617580773,0.12770534578654613,
B14,0.3526587358478866,0.1828413302239556,
B11,0.23264961544614726,0.20596049657754706,
cn12,0.14420702272391556,0.0,
B54,0.30285045062569504,0.16244878026659937,
B51,0.20596049657754706,0.09878217575540088,
os4,0.3526587358478866,0.1828413302239556,
in4,0.264216143125655,0.09878217575540088,
B33,0.264216143125655,0.09878217575540088,
sh10,0.3526587358478866,0.16244878026659937,
in22,0.20596049657754706,0.23264961544614726,
