tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,|3_4_8_0_,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,|5_7_6_1_,,,
8,,,,,,,,,,
9,,,,,,,|7_9_6_2_,,|8_9_8_3_,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,|16_18_5_6_,,,,
19,,,,,,|13_19_5_4_|15_19_5_5_,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,|17_22_4_7_,,,,,
23,,,,,,,,,|23_23_8_9_,
24,,,,,,,,,|24_24_8_10_,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,|26_28_2_11_,,,|21_28_5_8_,,,,
29,,,,,,,,,,
30,,,,,,,|28_30_6_13_,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,|27_34_4_12_,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,|35_43_4_14_,,,,,
44,,,,,|36_44_4_15_,,,,,
45,,,,,,,,,,
46,,,,,|38_46_4_16_,,,,,
47,,,,,|39_47_4_17_,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,|47_52_4_18_,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,|49_57_4_19_,|51_57_5_21_,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,|58_62_6_25_,,,
63,,,,,,,,,,
64,,,|61_64_2_27_,,,|59_64_5_26_,,,|64_64_8_28_,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,|57_67_4_24_,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,|54_71_5_22_,,,|71_71_8_31_,
72,,,,,,|56_72_5_23_,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,|77_77_8_33_,
78,,,,,|67_78_4_29_,,|74_78_6_32_,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,|79_82_2_34_,,,,,,,
83,,,|81_83_2_36_,,|50_83_4_20_,|80_83_5_35_,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
