tickNumber,in27,B14,B11,
0,,|0_0_1_0_,,
1,,,,
2,,,,
3,,|3_3_1_1_,,
4,,,,
5,,,,
6,,,,
7,,|7_7_1_2_,,
8,|8_8_0_3_,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,|17_17_1_7_,,
18,,,,
19,|19_19_0_8_,,,
20,,,|20_20_2_9_,
21,,,|21_21_2_10_,
22,,,,
23,|23_23_0_11_,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,|29_29_2_12_,
30,,,|30_30_2_13_,
31,,,|31_31_2_14_,
32,,,,
33,,,,
34,,,,
35,,,|35_35_2_15_,
36,,|36_36_1_16_,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,|42_42_0_17_,,,
43,,,,
44,,|44_44_1_18_,,
45,,,,
46,,,,
47,,|47_47_1_20_,,
48,|48_48_0_21_,,,
49,,,|49_49_2_22_,
50,|50_50_0_23_,,,
51,,|51_51_1_24_,|11_51_2_4_,
52,,|52_52_1_25_,,
53,,|53_53_1_26_,|13_53_2_5_,
54,,,|54_54_2_27_,
55,,,,
56,,,|16_56_2_6_,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,|63_63_2_30_,
64,,|64_64_1_31_,,
65,,,,
66,,,|66_66_2_32_,
67,,,,
68,,,|68_68_2_33_,
69,,,,
70,,,,
71,,,,
72,,|72_72_1_35_,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,|77_77_1_38_,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,|83_83_2_41_,
84,,,,
85,,,,
86,|85_86_0_43_,,|46_86_2_19_,
87,,|87_87_1_44_,,
88,,,,
89,,|56_89_1_28_,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,|88_97_1_45_,,
98,|98_98_0_48_,,|84_98_2_42_,
99,,,|59_99_2_29_|99_99_2_49_,
100,,,,
101,|101_101_0_51_,,,
102,,,|74_102_2_37_,
103,,|102_103_1_52_,,
104,,,,
105,|70_105_0_34_,,|105_105_2_53_,
106,,|106_106_1_54_,,
107,,,,
108,,,,
109,|109_109_0_56_,,|100_109_2_50_,
110,,,,
111,,,,
112,,,|90_112_2_46_,
113,,|113_113_1_59_,|73_113_2_36_,
114,,,,
115,,|115_115_1_61_,,
116,,,,
117,,,,
118,,,|78_118_2_39_,
119,,,|79_119_2_40_,
120,,,,
121,,,,
122,,,|122_122_2_65_,
123,,,,
124,,|124_124_1_67_,,
125,,,|123_125_2_66_,
126,,,,
127,,,,
128,,,|110_128_2_57_,
129,,,,
130,,,,
131,,|131_131_1_72_,|91_131_2_47_,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,|108_144_1_55_,,
145,,,|120_145_2_64_,
146,,,,
147,,,,
148,,,|129_148_2_71_,
149,,,,
150,,,,
151,,,,
152,,,|112_152_2_58_,
153,,,,
154,|153_154_0_80_,,|114_154_2_60_,
155,,,,
156,,,,
157,,,,
158,,|158_158_1_82_,|118_158_2_62_,
159,|142_159_0_77_,,|119_159_2_63_,
160,,,|140_160_2_75_,
161,,,|159_161_2_83_,
162,,,,
163,,,,
164,,|157_164_1_81_,,
165,,,|125_165_2_68_,
166,,|166_166_1_85_,,
167,,|165_167_1_84_,|127_167_2_69_,
168,,,|128_168_2_70_,
169,,,,
170,,,,
171,,,,
172,,|172_172_1_87_,,
173,,,,
174,,,|134_174_2_73_,
175,|175_175_0_88_,|144_175_1_78_,,
176,,,,
177,,,|137_177_2_74_,
