,job804_scenario1_1893,job805_scenario3_1895,
in27,0.2786525483035189,0.39866166870525827,
B14,0.4484699539274499,0.48003648160695767,
B11,0.31460251423670355,0.4217808350588497,
cn12,0.2235165638661094,0.3017717146571104,
B54,0.4484699539274499,0.39866166870525827,
B51,0.39866166870525827,0.5186707891069977,
os4,0.3600273612052182,0.5684790743291892,
in4,0.28982652602567044,0.5186707891069977,
B33,0.0,0.15864342790177943,
sh10,0.2786525483035189,0.39866166870525827,
in22,0.3435256842678488,0.5186707891069977,
