,job468_scenario0_919,job469_scenario2_923,
in27,0.1200091204017395,0.2332277013350042,
B14,0.1768851854444634,0.4871042614274899,
B11,0.13444552557960332,0.2332277013350042,
cn12,0.0,0.1867813967555293,
B54,0.19727773540181953,0.3670951410257506,
B51,0.3172868558035589,0.2332277013350042,
os4,0.19727773540181953,0.4871042614274899,
in4,0.15864342790177943,0.1867813967555293,
B33,0.22039690175541105,0.6773142170087771,
sh10,0.2968943058462027,0.5573050966070378,
in22,0.2084517131239711,0.4871042614274899,
