,job53_scenario1_103,job54_scenario0_104,job56_scenario1_108,
in27,0.22177648326079497,0.14040167035909557,0.24655247147182807,
B14,0.29197731844034275,0.22177648326079497,0.4119864388420822,
B11,0.38041991116257445,0.19020995558128728,0.29197731844034275,
cn12,0.16352083671268713,0.0,0.15546652110123393,
B54,0.35373079229397425,0.24655247147182807,0.35373079229397425,
B51,0.056342515890540845,0.043511716310947635,0.03156652767950774,
os4,0.3306116259403828,0.2106025055386434,0.3306116259403828,
in4,0.19020995558128728,0.16352083671268713,0.22177648326079497,
B33,0.24655247147182807,0.23372167189223492,0.24655247147182807,
sh10,0.5004290315643138,0.35373079229397425,0.38041991116257445,
in22,0.260410790760835,0.22177648326079497,0.24655247147182807,
