,job559_scenario2_1135,job560_scenario1_1137,
in27,0.09108595037059414,0.07825515079100098,
B14,0.17514510483914886,0.17514510483914886,
B11,0.12000912040173939,0.15475255488179263,
cn12,0.03474343448005335,0.0,
B54,0.17514510483914886,0.2951542252408883,
B51,0.15475255488179263,0.10494426965960107,
os4,0.34496251046307985,0.17514510483914886,
in4,0.07825515079100098,0.09108595037059414,
B33,0.4151633456426277,0.10494426965960107,
sh10,0.5351724660443671,0.2951542252408883,
in22,0.34496251046307985,0.1365107973391088,
