tickNumber,in27,B14,B11,cn12,B54,
0,,,,,|0_0_4_0_,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,|4_4_2_1_,,,
5,,,,,,
6,,,,,,
7,,|7_7_1_2_,,,,
8,,,,,,
9,,,,,|9_9_4_3_,
10,,,,,,
11,,,,|11_11_3_4_,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,|15_15_4_5_,
16,,,,,,
17,,,,,,
18,,,,,|18_18_4_6_,
19,,,,,|19_19_4_7_,
20,,,,,|20_20_4_8_,
21,,,,,,
22,,,,|22_22_3_9_,,
23,,,,,,
24,,,|24_24_2_10_,,,
25,,,,,,
26,,,,|26_26_3_11_,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,|31_31_4_12_,
32,,,,,|32_32_4_13_,
33,,|33_33_1_14_,,,,
34,,,|34_34_2_15_,,,
35,,,,,|35_35_4_16_,
36,,,,,,
37,,|37_37_1_17_,,,,
38,,,,,,
39,,,,,,
40,,,|40_40_2_18_,,,
41,,,,,,
42,,,,,,
43,,|43_43_1_19_,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,|47_47_2_20_,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,|49_51_4_21_,
52,,,,,,
53,,,,,,
54,,,,,|52_54_4_22_,
55,,,,,|54_55_4_23_,
56,,,,,|56_56_4_25_,
57,,,,,|55_57_4_24_,
58,,,,,,
59,,,|59_59_2_26_,,,
60,,,,,,
61,,,,,|61_61_4_28_,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,|60_66_0_27_,,,,,
67,|67_67_0_31_,,,,,
68,,,|66_68_2_30_,,,
69,,|65_69_1_29_|68_69_1_32_,,,,
70,,,,,,
71,,,,,,
72,,,,|72_72_3_35_,,
73,,,|70_73_2_34_,,,
74,,,,,|74_74_4_37_,
75,,,,,,
76,,,|69_76_2_33_,,,
77,,,,,|73_77_4_36_,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,|80_84_3_39_,|78_84_4_38_,
85,,,,,,
86,,,,,|86_86_4_41_,
87,,,,,,
88,|87_88_0_42_,,|88_88_2_43_,,,
89,,,,,,
90,,,,,,
91,,,|82_91_2_40_,,|91_91_4_45_,
92,,,,,,
93,,|93_93_1_46_,,,|89_93_4_44_,
94,,,|94_94_2_47_,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
