tickNumber,in27,B14,B11,cn12,B54,B51,os4,
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,|3_3_6_0_,
4,,,,,,,,
5,,|5_5_1_1_,,,,,,
6,,,,,,,,
7,,|7_7_1_2_,,,,,,
8,,,,,,,|8_8_6_3_,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,|13_13_5_4_,,
14,,,,,,,,
15,,,,,,|15_15_5_5_,,
16,,,,,,|16_16_5_6_,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,|17_20_4_7_,,,
21,,,,,,|21_21_5_8_,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,|24_25_6_10_,
26,,,,,,,,
27,,,,,|27_27_4_12_,,|26_27_6_11_,
28,,,,,,,,
29,,,,,,,|23_29_6_9_,
30,,,,,,,,
31,,|28_31_1_13_,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,|35_35_4_14_,,,
36,,,,,,,,
37,,,,,|36_37_4_15_,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,|38_42_4_16_,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,|39_45_4_17_,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,|50_50_4_20_,,,
51,,,,,|47_51_4_18_,,,
52,,,,,,,,
53,,,,,,|51_53_5_21_,,
54,,,,,,,,
55,,,,,,|54_55_5_22_,,
56,,,,,|49_56_4_19_,,,
57,,,,,,|56_57_5_23_,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,|59_60_6_26_,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,|58_64_1_25_,,,,,|64_64_6_28_,
65,,,,,|57_65_4_24_,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,|61_68_6_27_,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,|70_72_5_30_,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,|74_80_1_32_,,,,|80_80_5_35_,,
81,,,,,,,,
82,,,,,,,|79_82_6_34_,
83,,,,,,,|77_83_6_33_|83_83_6_38_,
84,,,,,,,,
85,,,,,,,|81_85_6_36_,
86,,,,,,,,
87,,,,,,|87_87_5_40_,,
88,,,,,,,,
89,,,,,,,|89_89_6_41_,
90,,,,,,,,
91,,,,,|90_91_4_42_,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,|94_95_5_43_,,
96,,,,,|84_96_4_39_,,,
97,,,,,,,,
98,,,,,,|82_98_5_37_,,
99,,,,,,,,
100,,,,,,,,
