tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,|0_3_2_0_,,|3_3_4_1_,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,|7_8_8_2_,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,|8_11_4_3_,|11_11_5_4_,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,|13_17_5_5_,,,,
18,,,,,,|16_18_5_6_,,,|17_18_8_7_,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,|20_22_6_9_,,,
23,,,,,,,,,,
24,,,,,|21_24_4_10_,,,,,
25,,,,,|19_25_4_8_,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,|23_29_4_11_,,,,,
30,,,,,,,,,,
31,,,,,,,|29_31_6_12_,,,
32,,,,,,,|30_32_6_13_,,,
33,,,,,,,|31_33_6_14_,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,|35_37_6_15_,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,|36_44_4_16_,,,,|44_44_8_18_,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,|47_47_8_20_,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,|42_50_4_17_,,,,,
51,,,,,,,|49_51_6_22_,,|51_51_8_24_,
52,,,,,,,,,|52_52_8_25_,
53,,,,,,,,,|53_53_8_26_,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,|56_56_8_28_,
57,,,,,|48_57_4_21_,,,,,
58,,,,,,,,,,
59,,,,,|50_59_4_23_,,,,,
60,,,,,,|46_60_5_19_,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,|54_64_4_27_,,,,|64_64_8_31_,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,|63_67_6_30_,,,
68,,,,,,,,,,
69,,,|66_69_2_32_,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,|68_72_6_33_,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,|59_76_5_29_,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,|70_82_4_34_,,,,,
83,,,,,,,,,,
84,,,,,|72_84_4_35_,,,,,
85,,|85_85_1_43_,|83_85_2_41_,,,,,,,
86,,,,,|74_86_4_37_,,,,,
87,,,,,,,,,,
