tickNumber,in27,B14,B11,cn12,B54,
0,,,,,|0_0_4_0_,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,|4_4_4_1_,
5,,,,,,
6,,,,,,
7,,|7_7_1_2_,,,,
8,,,,,,
9,,,,,|9_9_4_3_,
10,,,,,,
11,,|11_11_1_4_,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,|15_15_3_5_,,
16,,,,,,
17,,,,,,
18,,,,,|18_18_4_6_,
19,,,,,|19_19_4_7_,
20,,|20_20_1_8_,,,,
21,,,,,,
22,,,,,|22_22_4_9_,
23,,,,,,
24,,,|24_24_2_10_,,,
25,,,,,,
26,,,,|26_26_3_11_,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,|31_31_4_12_,
32,,,,,|32_32_4_13_,
33,,|33_33_1_14_,,,,
34,,,|34_34_2_15_,,,
35,,,,,|35_35_4_16_,
36,,,,,,
37,,|37_37_1_17_,,,,
38,,,,,,
39,,,,,,
40,|40_40_0_18_,,,,,
41,,,,,,
42,,,,,,
43,,|43_43_1_19_,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,|49_50_4_21_,
51,,,,,,
52,,,,,|52_52_4_22_,
53,,,,,,
54,,,,,,
55,,,,,|54_55_4_23_,
56,,,,,|55_56_4_24_,
57,,,,,|56_57_4_25_,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,|61_62_4_28_,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,|67_67_3_31_,,
68,,|68_68_1_32_,,,,
69,,,|47_69_2_20_,,,
70,|70_70_0_34_,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,|72_74_2_35_,,|74_74_4_37_,
75,,,,,|73_75_4_36_,
76,|60_76_0_27_,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,|80_80_1_39_,,,|78_80_4_38_,
81,,,,,,
82,|82_82_0_40_,,,,,
83,,,,,,
84,,|65_84_1_29_,,,,
85,,,|69_85_2_33_,,,
86,,,,,|86_86_4_41_,
87,,,|66_87_2_30_,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,|91_93_4_45_,
94,,,,,,
95,,|95_95_1_48_,,,,
96,,|93_96_1_46_,,,,
97,,,,,,
98,,,,,,
99,,,,,|99_99_4_50_,
100,,,,,,
101,,,,,,
102,,,,,,
