,job200_scenario0_404,job206_scenario2_412,job207_scenario1_413,job208_scenario3_414,
in27,0.12330705940774855,0.20736621387630333,0.243316179809488,0.3771836195002344,
B14,0.2185401915984549,0.44738445467978216,0.3273753342780427,0.4971927399019737,
B11,0.16873190637626323,0.3069827843206865,0.23048538022989484,0.44738445467978216,
cn12,0.0,0.1968698752300131,0.1869736639189472,0.25717449909849494,
B54,0.243316179809488,0.4087501471797421,0.3504945006316342,0.6874026954832609,
B51,0.243316179809488,0.243316179809488,0.25717449909849494,0.4971927399019737,
os4,0.2185401915984549,0.5673935750815216,0.3273753342780427,0.3504945006316342,
in4,0.16028454505034706,0.1968698752300131,0.243316179809488,0.5673935750815216,
B33,0.25717449909849494,0.5673935750815216,0.25717449909849494,0.3771836195002344,
sh10,0.4087501471797421,0.6874026954832609,0.4087501471797421,0.3771836195002344,
in22,0.23048538022989484,0.4971927399019737,0.27223934984063325,0.5673935750815216,
