,job216_scenario1_432,job220_scenario0_438,job221_scenario0_439,job222_scenario0_440,
in27,0.4217808350588498,0.3284608335257104,0.32139305370517823,0.30806828356835425,
B14,0.5186707891069977,0.38816533005896803,0.4217808350588498,0.37826911874790214,
B11,0.4800364816069576,0.3284608335257104,0.33582945888304205,0.3435256842678488,
cn12,0.37826911874790214,0.18488225636606936,0.18488225636606936,0.18176259425537078,
B54,0.600045602008697,0.4098356464274098,0.39866166870525827,0.4217808350588498,
B51,0.4635348046695882,0.44846995392744987,0.43461163463844293,0.43461163463844293,
os4,0.5186707891069977,0.39866166870525827,0.39866166870525827,0.38816533005896803,
in4,0.39866166870525827,0.37826911874790214,0.37826911874790214,0.3689081058935032,
B33,0.049808285222191606,0.0,0.049808285222191606,0.049808285222191606,
sh10,0.6884881947309287,0.6884881947309287,0.6386799095087371,0.5417899554605892,
in22,0.4982782391496414,0.4217808350588498,0.4217808350588498,0.38816533005896803,
