,job258_scenario0_495,job259_scenario0_496,job261_scenario3_499,job263_scenario2_501,
in27,0.1975785809386188,0.18314217576075498,0.4617947240642738,0.34178560366253435,
B14,0.009896211311065994,0.0,0.19020995558128728,0.2217764832607949,
B11,0.20527480632342554,0.20527480632342554,0.7404472723677926,0.3102190759830266,
cn12,0.049808285222191606,0.05304457688453168,0.3804199111625744,0.23065722794907995,
B54,0.3102190759830266,0.34178560366253435,0.43022819638476606,0.43022819638476606,
B51,0.32528392672516493,0.34178560366253435,0.7404472723677926,0.32528392672516493,
os4,0.0597044965332576,0.07020083517954778,0.2400182408034789,0.3102190759830266,
in4,0.23065722794907995,0.21332912193487874,0.5004290315643138,0.2963607566940197,
B33,0.260410790760835,0.260410790760835,0.5004290315643138,0.5004290315643138,
sh10,0.40353907751616586,0.3804199111625744,0.43022819638476606,0.40353907751616586,
in22,0.24991445211454477,0.260410790760835,0.40353907751616586,0.40353907751616586,
