,job375_scenario2_712,job377_scenario2_715,job378_scenario1_716,job379_scenario1_717,
in27,0.08303163475914094,0.07020083517954778,0.11195480479028619,0.07020083517954778,
B14,0.1284564817276556,0.026689118868600037,0.09688995404814787,0.2870999096294351,
B11,0.11195480479028619,0.08303163475914094,0.19020995558128712,0.11195480479028619,
cn12,0.026689118868600148,0.0,0.00844736132591617,0.017328106014201206,
B54,0.16709078922769566,0.19020995558128712,0.19020995558128712,0.2870999096294351,
B51,0.09688995404814787,0.03658533017966603,0.09688995404814787,0.09688995404814787,
os4,0.2870999096294351,0.33690819485162665,0.11195480479028619,0.1284564817276556,
in4,0.04708166882595627,0.07020083517954778,0.04708166882595627,0.07020083517954778,
B33,0.33690819485162665,0.5271181504329139,0.08303163475914094,0.04708166882595627,
sh10,0.33690819485162665,0.33690819485162665,0.33690819485162665,0.14669823927033943,
in22,0.4071090300311745,0.24846560212939506,0.09688995404814787,0.11195480479028619,
