,job132_scenario0_276,job134_scenario2_279,job135_scenario1_281,job136_scenario1_283,
in27,0.20343291062381275,0.2301220294924129,0.250514579449769,0.2616885571719206,
B14,0.2301220294924129,0.5403411054754395,0.42033198507370007,0.3705236998515084,
B11,0.1876823696275528,0.33188939235146836,0.33188939235146836,0.27363374580336053,
cn12,0.05323684404794948,0.250514579449769,0.24001824080347878,0.22076101663801395,
B54,0.33188939235146836,0.42033198507370007,0.39364286620509986,0.4518985127532078,
B51,0.03361550499988175,0.0,0.021670316368441744,0.06030462386848179,
os4,0.2301220294924129,0.7305510610567266,0.39364286620509986,0.31538771541409893,
in4,0.24001824080347878,0.24001824080347878,0.27363374580336053,0.2864645453829537,
B33,0.2864645453829537,0.7305510610567266,0.2864645453829537,0.31538771541409893,
sh10,0.39364286620509986,0.6105419406549872,0.42033198507370007,0.39364286620509986,
in22,0.3003228646719606,0.6105419406549872,0.3003228646719606,0.3003228646719606,
