,job258_scenario0_495,job259_scenario0_496,job261_scenario3_499,job262_scenario1_500,
in27,0.23621288843865884,0.22177648326079502,0.5004290315643138,0.3804199111625744,
B14,0.009896211311065883,0.0,0.19020995558128717,0.22177648326079502,
B11,0.24390911382346558,0.24390911382346558,0.7790815798678327,0.3986616687052582,
cn12,0.08844259272223165,0.09167888438457172,0.41905421866261444,0.26041079076083495,
B54,0.34885338348306666,0.3804199111625744,0.4688625038848061,0.4421733850162059,
B51,0.363918234225205,0.3804199111625744,0.7790815798678327,0.34885338348306666,
os4,0.2885487596145848,0.29904509826087505,0.4688625038848061,0.5390633390643539,
in4,0.26929153544912,0.2519634294349188,0.5390633390643539,0.2885487596145848,
B33,0.29904509826087505,0.29904509826087505,0.5390633390643539,0.363918234225205,
sh10,0.4421733850162059,0.41905421866261444,0.4688625038848061,0.4688625038848061,
in22,0.2885487596145848,0.29904509826087505,0.4421733850162059,0.34885338348306666,
