,job793_scenario3_1849,job795_scenario3_1851,
in27,0.12000912040173944,0.18176259425537095,
B14,0.0,0.0884425927222317,
B11,0.3284608335257105,0.12000912040173944,
cn12,0.3986616687052583,0.1586434279017795,
B54,0.18176259425537095,0.18176259425537095,
B51,0.27865254830351893,0.27865254830351893,
os4,0.2400182408034789,0.18176259425537095,
in4,0.27865254830351893,0.3986616687052583,
B33,0.2400182408034789,0.1586434279017795,
sh10,0.3986616687052583,0.3986616687052583,
in22,0.10350744346437002,0.3284608335257105,
