,job529_scenario0_1061,job530_scenario4_1062,job531_scenario2_1063,
in27,0.16981740562393122,0.3369081948516269,0.240018240803479,
B14,0.25284904038307215,0.29827388735158683,0.36002736120521833,
B11,0.18714551163813242,0.4182830077533263,0.2817722104142174,
cn12,0.0,0.36002736120521833,0.19650652449253136,
B54,0.19650652449253136,0.5769264356551057,0.31651564489427064,
B51,0.2667073596720791,0.29827388735158683,0.5769264356551057,
os4,0.18714551163813242,0.5067256004755578,0.4182830077533263,
in4,0.18714551163813242,0.5067256004755578,0.22807305217203905,
B33,0.04175396961073863,0.07649740409079187,0.4569173152533663,
sh10,0.6969355560568451,0.5769264356551057,0.4182830077533263,
in22,0.25284904038307215,0.2817722104142174,0.38671648007381854,
