,job1092_scenario1_3513,job1093_scenario2_3514,
in27,0.264216143125655,0.12770534578654613,
B14,0.264216143125655,0.264216143125655,
B11,0.08595137617580773,0.12770534578654613,
cn12,0.015750540996259943,0.0,
B54,0.20596049657754706,0.30285045062569504,
B51,0.14420702272391556,0.12770534578654613,
os4,0.20596049657754706,0.23264961544614726,
in4,0.09878217575540088,0.11264049504440782,
B33,0.14420702272391556,0.30285045062569504,
sh10,0.5428686914291738,0.20596049657754706,
in22,0.16244878026659937,0.30285045062569504,
