,job523_scenario1_1052,job526_scenario0_1056,
in27,0.35373079229397425,0.14040167035909557,
B14,0.14040167035909568,0.051959077636863915,
B11,0.20010616689235317,0.1477702957164272,
cn12,0.12000912040173939,0.0,
B54,0.690638987145601,0.38041991116257445,
B51,0.29197731844034275,0.260410790760835,
os4,0.18084894272688834,0.23372167189223492,
in4,0.24655247147182807,0.20010616689235317,
B33,0.3306116259403828,0.2754756415029733,
sh10,0.260410790760835,0.260410790760835,
in22,0.31021907598302656,0.260410790760835,
