tickNumber,in27,B14,B11,
0,,,,
1,,|1_1_1_0_,,
2,,|2_2_1_1_,,
3,,,,
4,,,,
5,,,|5_5_2_2_,
6,,,,
7,,,,
8,|8_8_0_3_,,,
9,,,,
10,,,|10_10_2_4_,
11,,,,
12,,,,
13,,,|13_13_2_6_,
14,,,,
15,,,,
16,,,,
17,,,|17_17_2_7_,
18,,,|18_18_2_8_,
19,,|19_19_1_9_,,
20,,,,
21,,|21_21_1_10_,,
22,,,,
23,,|23_23_1_11_,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,|34_34_0_13_,,,
35,,,,
36,,,,
37,,,,
38,|38_38_0_16_,,,
39,,,,
40,,,,
41,,,,
42,,|42_42_1_17_,,
43,,|43_43_1_18_,,
44,,,,
45,,,,
46,,,,
47,,,|47_47_2_20_,
48,,|35_48_1_14_,|48_48_2_21_,
49,|49_49_0_22_,,,
50,,,,
51,|51_51_0_23_,,|11_51_2_5_,
52,,|52_52_1_24_,,
53,,,,
54,,,,
55,,,|55_55_2_25_,
56,|56_56_0_26_,,,
57,,,|57_57_2_27_,
58,,,,
59,,,,
60,,|60_60_1_29_,,
61,,,,
62,,|62_62_1_30_,,
63,,,|63_63_2_31_,
64,,,|24_64_2_12_,
65,,,|58_65_2_28_|65_65_2_33_,
66,,,,
67,,,,
68,,|68_68_1_34_,,
69,,,,
70,,,,
71,,,|71_71_2_36_,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,|77_77_1_37_,|37_77_2_15_,
78,,,,
79,,,|79_79_2_39_,
80,|45_80_0_19_,,,
81,,,,
82,,,|82_82_2_41_,
83,,,|83_83_2_42_,
84,,,,
85,,,|85_85_2_43_,
86,,,,
87,,,,
88,,,,
89,,,,
90,,|90_90_1_45_,,
91,,,|91_91_2_46_,
92,,,,
93,,,,
94,,|81_94_1_40_|94_94_1_48_,,
95,|95_95_0_49_,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,|92_102_2_47_,
103,,,|103_103_2_52_,
104,,,|64_104_2_32_,
105,|70_105_0_35_,,,
106,,,,
107,|89_107_0_44_,,,
108,,,,
109,,,|100_109_2_51_,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,|117_117_1_56_,,
118,,,|78_118_2_38_,
119,,,,
120,,,,
121,|121_121_0_57_,,,
122,,|114_122_1_54_,,
123,,,,
124,,,,
125,,,,
126,,,,
127,|127_127_0_59_,|96_127_1_50_,,
128,,,,
129,|126_129_0_58_,,,
130,,|130_130_1_61_,,
131,,,,
132,,,,
133,,,,
134,,|104_134_1_53_,,
135,|135_135_0_63_,,|133_135_2_62_,
136,,,,
137,,,,
138,|138_138_0_65_,,|128_138_2_60_,
139,,,,
140,,,,
141,,,|136_141_2_64_,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,|115_149_0_55_,|149_149_1_69_,,
150,,,,
151,,,,
152,,,|152_152_2_71_,
153,,,,
154,,,,
155,|154_155_0_72_,,|155_155_2_73_,
156,,,,
157,,|157_157_1_74_,,
158,,|158_158_1_75_,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,|164_165_2_78_,
166,,|166_166_1_80_,,
167,|143_167_0_66_,,|167_167_2_81_,
168,,,|161_168_2_77_,
169,,|169_169_1_83_,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,|175_175_1_87_,,
176,,,|165_176_2_79_,
177,|177_177_0_89_,,|176_177_2_88_,
178,,,,
179,,,,
