,job129_scenario0_244,job134_scenario1_253,job135_scenario0_254,job137_scenario2_256,
in27,0.4574435556731849,0.35966671180880194,0.15157564808124724,0.1392223346094542,
B14,0.481641457995361,0.4646109814684031,0.21834792443503703,0.28592057387979375,
B11,0.49052220268364605,0.3944101462888552,0.20845171312397115,0.18097630422019262,
cn12,0.3096732599567577,0.2561592683444319,0.018241757542683867,0.09571061829850658,
B54,0.34123978763626545,0.159269314296284,0.0,0.03883455325578267,
B51,0.5562257314285858,0.35966671180880194,0.31021907598302656,0.10560682960957246,
os4,0.5700840507175927,0.35966671180880194,0.15864342790177943,0.4059296942815331,
in4,0.47319409666944484,0.31791274219806354,0.1990907002695722,0.1392223346094542,
B33,0.5202757654954011,0.3761683887461713,0.2937173990456572,0.35612140905934153,
sh10,0.72165969879884,0.3446018610666636,0.3986616687052583,0.5961396498628203,
in22,0.5433949318489926,0.3944101462888552,0.21834792443503703,0.35612140905934153,
