,job129_scenario0_244,job134_scenario1_253,job135_scenario0_254,job136_scenario1_255,
in27,0.5377904038754251,0.3882167363284379,0.13333389053856337,0.24655247147182807,
B14,0.5619883061976012,0.493161005988039,0.20010616689235317,0.31021907598302656,
B11,0.5708690508858862,0.42296017080849113,0.19020995558128728,0.29197731844034275,
cn12,0.39002010815899785,0.2847092928640679,0.0,0.18084894272688834,
B54,0.7002391841420244,0.46647188711943877,0.260410790760835,0.38041991116257445,
B51,0.6365725796308259,0.3882167363284379,0.29197731844034275,0.31021907598302656,
os4,0.6504308989198329,0.3882167363284379,0.14040167035909557,0.35373079229397425,
in4,0.553540944871685,0.3464627667176995,0.18084894272688834,0.19020995558128728,
B33,0.6006226136976412,0.40471841326580726,0.2754756415029733,0.2754756415029733,
sh10,0.80200654700108,0.3731518855862995,0.38041991116257445,0.4119864388420822,
in22,0.6237417800512328,0.42296017080849113,0.20010616689235317,0.2754756415029733,
