,job85_scenario0_171,job88_scenario4_176,
in27,0.24846560212939517,0.4457433375312146,
B14,0.03658533017966603,0.14669823927033954,
B11,0.27865254830351893,0.527118150432914,
cn12,0.12166594225918104,0.40710903003117455,
B54,0.3488533834830667,0.6857615783346934,
B51,0.3488533834830667,0.565752457932954,
os4,0.25553338194992736,0.6155607431551455,
in4,0.31523787848318496,0.3906073530938051,
B33,0.22884426308132721,0.0,
sh10,0.8057706987364328,0.3906073530938051,
in22,0.30534166717211897,0.4955516227534062,
