,job440_scenario0_864,job441_scenario1_867,
in27,0.11393352990321848,0.25284904038307215,
B14,0.16981740562393122,0.22807305217203905,
B11,0.1328399199813327,0.20640273580359725,
cn12,0.0,0.18714551163813242,
B54,0.2817722104142174,0.31651564489427064,
B51,0.20640273580359725,0.3369081948516269,
os4,0.18714551163813242,0.31651564489427064,
in4,0.1782647669498474,0.2817722104142174,
B33,0.240018240803479,0.2667073596720791,
sh10,0.38671648007381854,0.36002736120521833,
in22,0.18714551163813242,0.3369081948516269,
