,job452_scenario0_884,job453_scenario1_886,job454_scenario4_887,
in27,0.17095273141582235,0.1620719867275373,0.28208110712927675,
B14,0.23665626016076208,0.30032286467196057,0.37052369985150846,
B11,0.12343767922749738,0.34383458098290826,0.44072453503105624,
cn12,0.0,0.1378740844053612,0.23665626016076208,
B54,0.04206286632579792,0.2007062942275774,0.10381634017942942,
B51,0.22382546058116892,0.30032286467196057,0.5607336554327956,
os4,0.2007062942275774,0.34383458098290826,0.30032286467196057,
in4,0.2007062942275774,0.26557943019190733,0.5607336554327956,
B33,0.250514579449769,0.3207154146293168,0.28208110712927675,
sh10,0.30032286467196057,0.680742775834535,0.37052369985150846,
in22,0.30032286467196057,0.250514579449769,0.4020902275310162,
