,job788_scenario2_1842,job791_scenario3_1845,job793_scenario0_1847,job794_scenario1_1849,
in27,0.20328307369289866,0.4151633456426277,0.12972025787063413,0.23689857869278041,
B14,0.6938158939461465,0.5036059383648592,0.18402584952743384,0.5036059383648592,
B11,0.2786525483035188,0.4151633456426277,0.1509472025169727,0.31339598278357206,
cn12,0.19338686238183278,0.35690769909451975,0.0,0.14357857715964106,
B54,0.6938158939461465,0.3337885327409283,0.38359681796311995,0.5738067735444071,
B51,0.22495339006134046,0.5738067735444071,0.2786525483035188,0.24972937827237357,
os4,0.45379765314266773,0.5036059383648592,0.22495339006134046,0.35690769909451975,
in4,0.2137794123391889,0.45379765314266773,0.23689857869278041,0.23689857869278041,
B33,0.6938158939461465,0.31339598278357206,0.2137794123391889,0.24972937827237357,
sh10,0.19338686238183278,0.2635876975613805,0.04668862311149313,0.04668862311149313,
in22,0.5738067735444071,0.45379765314266773,0.24972937827237357,0.31339598278357206,
