jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario0_36,36,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job1_scenario2_85,85,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job2_scenario1_99,99,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job3_scenario1_100,100,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job4_scenario2_101,101,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job5_scenario2_111,111,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job6_scenario1_126,126,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job7_scenario1_131,131,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job8_scenario4_140,140,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job9_scenario4_145,145,20,2,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job10_scenario0_149,149,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job11_scenario4_150,150,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job12_scenario2_153,153,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job13_scenario4_180,180,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job14_scenario2_191,191,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job15_scenario1_195,195,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job16_scenario4_198,198,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job17_scenario4_199,199,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job18_scenario0_209,209,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job19_scenario0_221,221,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job20_scenario1_242,242,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job21_scenario0_246,246,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job22_scenario4_254,254,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job23_scenario1_264,264,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job24_scenario4_275,275,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job25_scenario4_280,280,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job26_scenario0_284,284,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job27_scenario4_295,295,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job28_scenario1_303,303,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job29_scenario2_327,327,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job30_scenario1_337,337,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
