jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario3_7,7,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job1_scenario2_13,13,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job2_scenario4_14,14,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job3_scenario4_92,92,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job4_scenario0_116,116,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job5_scenario2_179,179,20,4,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job6_scenario0_186,186,20,8,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job7_scenario0_189,189,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job8_scenario2_192,192,20,9,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job9_scenario0_202,202,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job10_scenario1_213,213,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job11_scenario2_216,216,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job12_scenario1_255,255,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job13_scenario1_276,276,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job14_scenario0_282,282,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job15_scenario1_287,287,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job16_scenario4_328,328,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job17_scenario0_332,332,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job18_scenario4_334,334,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job19_scenario4_374,374,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job20_scenario4_381,381,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job21_scenario4_389,389,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job22_scenario0_402,402,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job23_scenario4_418,418,20,4,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job24_scenario3_426,426,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job25_scenario3_428,428,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job26_scenario3_436,436,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job27_scenario1_477,477,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job28_scenario2_493,493,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job29_scenario4_503,503,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job30_scenario2_526,526,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job31_scenario1_530,530,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job32_scenario0_538,538,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job33_scenario3_559,559,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job34_scenario0_587,587,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job35_scenario0_622,622,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job36_scenario3_623,623,20,4,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job37_scenario0_648,648,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job38_scenario2_657,657,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job39_scenario4_694,694,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job40_scenario1_717,717,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job41_scenario3_732,732,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job42_scenario0_804,804,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job43_scenario1_840,840,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job44_scenario3_891,891,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job45_scenario4_902,902,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job46_scenario1_921,921,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job47_scenario4_974,974,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job48_scenario4_993,993,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job49_scenario4_1020,1020,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job50_scenario3_1157,1157,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job51_scenario1_1159,1159,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job52_scenario3_1180,1180,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario3,
job53_scenario0_1206,1206,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job54_scenario4_1207,1207,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job55_scenario0_1214,1214,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job56_scenario3_1240,1240,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario3,
job57_scenario3_1282,1282,20,7,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job58_scenario4_1316,1316,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job59_scenario0_1345,1345,20,9,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job60_scenario4_1360,1360,20,3,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job61_scenario2_1375,1375,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job62_scenario4_1411,1411,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job63_scenario2_1419,1419,20,10,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job64_scenario4_1465,1465,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job65_scenario1_1469,1469,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job66_scenario0_1507,1507,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job67_scenario1_1556,1556,20,3,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job68_scenario3_1666,1666,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario3,
job69_scenario4_1730,1730,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
