,job420_scenario1_826,job421_scenario2_828,
in27,0.13751708303649762,0.0,
B14,0.24469540385864383,0.2786525483035188,
B11,0.15137540232550456,0.1586434279017795,
cn12,0.05448544827735674,0.024775988211033106,
B54,0.20118368754769617,0.1586434279017795,
B51,0.13751708303649762,0.07020083517954778,
os4,0.15137540232550456,0.46886250388480605,
in4,0.12468628345690452,0.011945188631439951,
B33,0.20118368754769617,0.46886250388480605,
sh10,0.4615944783085312,0.2786525483035188,
in22,0.15137540232550456,0.2786525483035188,
