,job218_scenario0_434,job220_scenario0_438,job222_scenario0_440,job223_scenario2_441,
in27,0.6102216665220881,0.45734295589212814,0.25825999834616264,0.4484699539274498,
B14,0.6548613123132074,0.5170474524253857,0.32846083352571054,0.5186707891069977,
B11,0.5951568157799498,0.45734295589212814,0.2937173990456572,0.4484699539274498,
cn12,0.4515782386203087,0.3137643787324871,0.13195430903317917,0.34885338348306666,
B54,0.6765316286816492,0.5387177687938275,0.3719725498366582,0.638679909508737,
B51,0.7151659361816892,0.5773520762938675,0.38480334941625133,0.3600273612052182,
os4,0.6356040881477425,0.5275437910716759,0.3383570448367764,0.5888716242865455,
in4,0.5951568157799498,0.5071512411143199,0.3190998206713116,0.39866166870525827,
B33,0.27786995997639097,0.12888212236641772,0.0,0.31021907598302656,
sh10,0.8084859377148285,0.8173703170973463,0.4919816702383975,0.8288898650900243,
in22,0.6548613123132074,0.5506629574252675,0.3383570448367764,0.7088807446882849,
