,job300_scenario0_573,job301_scenario1_575,job302_scenario3_579,
in27,0.1300975988762233,0.19122518633535018,0.059062998217560336,
B14,0.2185401915984549,0.2845451878684894,0.2759620726674477,
B11,0.1371653786967555,0.2845451878684894,0.1559529522657083,
cn12,0.0,0.10278259361311848,0.08575211708616054,
B54,0.25717449909849494,0.3112343067370896,0.1559529522657083,
B51,0.16873190637626323,0.0573577466446038,0.2759620726674477,
os4,0.1869736639189472,0.22279171401485792,0.11731864476566828,
in4,0.15223022943889386,0.14141690111315858,0.1559529522657083,
B33,0.23048538022989484,0.1645360674667501,0.2759620726674477,
sh10,0.5673935750815216,0.34280083441659737,0.1559529522657083,
in22,0.23048538022989484,0.24103347155754173,0.3959711930691871,
