,job816_scenario2_1917,job818_scenario0_1920,job821_scenario2_1925,
in27,0.5782415252798725,0.35509671705674556,0.2261599215144719,
B14,0.698250645681612,0.4222331082931385,0.2898265260256704,
B11,0.6715615268130117,0.38915446128267733,0.25508309154561715,
cn12,0.4813515712317246,0.2320231527118512,0.179713616934997,
B54,0.888460601262899,0.45198667110489354,0.27158476848298657,
B51,0.33822328447639366,0.2066407310861969,0.0,
os4,0.888460601262899,0.4631606488270451,0.3600273612052183,
in4,0.5782415252798725,0.5017949563270852,0.21332912193487874,
B33,0.888460601262899,0.5168598070692234,0.5502373167865054,
sh10,0.8182597660833513,0.7418131971305639,0.3600273612052183,
in22,0.7684514808611597,0.4631606488270451,0.391593888884726,
