,job448_scenario0_898,job449_scenario0_901,
in27,0.32538864685894886,0.14669823927033954,
B14,0.38509314339220646,0.20640273580359714,
B11,0.2926239374918277,0.21689907444988737,
cn12,0.1948831878109193,0.0062965689112439716,
B54,0.03828873722951376,0.0,
B51,0.4315394479716813,0.33690819485162676,
os4,0.34045349760108723,0.19650652449253125,
in4,0.3751969320811406,0.1698174056239311,
B33,0.44539776726068825,0.25284904038307204,
sh10,0.5969734153419355,0.5769264356551056,
in22,0.36583591922674163,0.22807305217203894,
