,job816_scenario2_1917,job818_scenario0_1920,
in27,0.4484622112038432,0.12307356434489436,
B14,0.5684713316055827,0.19020995558128728,
B11,0.5417822127369825,0.15713130857082613,
cn12,0.3515722571556954,0.0,
B54,0.7586812871868699,0.21996351839304235,
B51,0.518663046383391,0.28483665435737227,
os4,0.7586812871868699,0.2311374961151939,
in4,0.4484622112038432,0.26977180361523395,
B33,0.7586812871868699,0.28483665435737227,
sh10,0.4982704964260348,0.3195800888374255,
in22,0.6386721667851305,0.2311374961151939,
