jobId,arrivalTime,maxStartDelay,urgency,minTimeForHandling,maxTimeForHandling,location,terrain,vehicle,timeOfTheDay,weather,scenarioType
job0_scenario0_24,24,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job1_scenario2_35,35,20,9,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job2_scenario0_645,645,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job3_scenario1_743,743,20,5,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job4_scenario4_3663,3663,20,5,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job5_scenario2_3806,3806,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job6_scenario4_3970,3970,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job7_scenario2_4056,4056,20,8,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job8_scenario4_4171,4171,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job9_scenario3_4187,4187,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job10_scenario4_4206,4206,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job11_scenario2_4400,4400,20,6,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job12_scenario4_4435,4435,20,6,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job13_scenario1_4472,4472,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job14_scenario1_4491,4491,20,2,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job15_scenario4_4514,4514,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job16_scenario4_4558,4558,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job17_scenario4_4574,4574,20,3,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job18_scenario1_4602,4602,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job19_scenario4_4681,4681,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job20_scenario4_4690,4690,20,5,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job21_scenario4_4785,4785,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job22_scenario4_4791,4791,20,7,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job23_scenario2_5065,5065,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario2,
job24_scenario0_5101,5101,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario0,
job25_scenario1_5109,5109,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job26_scenario1_5117,5117,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job27_scenario2_5242,5242,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job28_scenario4_5246,5246,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job29_scenario2_5309,5309,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
job30_scenario1_5366,5366,20,6,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job31_scenario4_5387,5387,20,1,0,0,south,asphalt,sedan,morning,sunshine,scenario4,
job32_scenario4_5389,5389,20,10,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job33_scenario4_5393,5393,20,1,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job34_scenario1_5500,5500,20,9,0,0,east,asphalt,sedan,morning,sunshine,scenario1,
job35_scenario1_5513,5513,20,8,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job36_scenario4_5516,5516,20,8,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job37_scenario0_5533,5533,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario0,
job38_scenario0_5537,5537,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario0,
job39_scenario1_5594,5594,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario1,
job40_scenario3_5608,5608,20,10,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job41_scenario3_5634,5634,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario3,
job42_scenario1_5639,5639,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job43_scenario2_5647,5647,20,6,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job44_scenario2_5648,5648,20,1,0,0,west,asphalt,sedan,morning,sunshine,scenario2,
job45_scenario1_5683,5683,20,5,0,0,south,asphalt,sedan,morning,sunshine,scenario1,
job46_scenario4_5692,5692,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario4,
job47_scenario4_5729,5729,20,3,0,0,north,asphalt,sedan,morning,sunshine,scenario4,
job48_scenario2_5738,5738,20,7,0,0,south,asphalt,sedan,morning,sunshine,scenario2,
job49_scenario1_5761,5761,20,1,0,0,north,asphalt,sedan,morning,sunshine,scenario1,
job50_scenario4_5784,5784,20,4,0,0,west,asphalt,sedan,morning,sunshine,scenario4,
job51_scenario0_5810,5810,20,7,0,0,north,asphalt,sedan,morning,sunshine,scenario0,
job52_scenario2_5814,5814,20,2,0,0,east,asphalt,sedan,morning,sunshine,scenario2,
