,job155_scenario1_282,job159_scenario1_288,
in27,0.391048072858457,0.011173977722151562,
B14,0.3026054801362254,0.2013839333034388,
B11,0.31455066876766535,0.03594996593318467,
cn12,0.22859929259185763,0.023119166353591514,
B54,0.49281543571751263,0.2013839333034388,
B51,0.35630463837840376,0.0,
os4,0.31455066876766535,0.03594996593318467,
in4,0.29143150241407384,0.0,
B33,0.391048072858457,0.06487313596432992,
sh10,0.3728063153157732,0.14312828675533085,
in22,0.4612489080380049,0.2400182408034788,
